Sample,Cell voltage
1172,3.218713
1173,3.218503
1174,3.218293
1175,3.218082
1176,3.217871
1177,3.217659
1178,3.217432
1179,3.217216
1180,3.216994
1181,3.216771
1182,3.216542
1183,3.216327
1184,3.216095
1185,3.215869
1186,3.215638
1187,3.215414
1188,3.215162
1189,3.214925
1190,3.214684
1191,3.214449
1192,3.214203
1193,3.213959
1194,3.213709
1195,3.213461
1196,3.213216
1197,3.212954
1198,3.212697
1199,3.212443
1200,3.212179
1201,3.211913
1202,3.211647
1203,3.211379
1204,3.211118
1205,3.210844
1206,3.210569
1207,3.210287
1208,3.210010
1209,3.209736
1210,3.209453
1211,3.209168
1212,3.208876
1213,3.208588
1214,3.208288
1215,3.207997
1216,3.207709
1217,3.207397
1218,3.207098
1219,3.206791
1220,3.206486
1221,3.206168
1222,3.205860
1223,3.205535
1224,3.205216
1225,3.204896
1226,3.204575
1227,3.204244
1228,3.203912
1229,3.203578
1230,3.203244
1231,3.202914
1232,3.202560
1233,3.202214
1234,3.213864
1235,3.213513
1236,3.213149
1237,3.200795
1238,3.200430
1239,3.200066
1240,3.199707
1241,3.199327
1242,3.198948
1243,3.198569
1244,3.198183
1245,3.197791
1246,3.197399
1247,3.197005
1248,3.196592
1249,3.196185
1250,3.195779
1251,3.195361
1252,3.194939
1253,3.194507
1254,3.194075
1255,3.193648
1256,3.193214
1257,3.192535
1258,3.192101
1259,3.191654
1260,3.191203
1261,3.190749
1262,3.190284
1263,3.189818
1264,3.189348
1265,3.188872
1266,3.188393
1267,3.187908
1268,3.187411
1269,3.186911
1270,3.186399
1271,3.185902
1272,3.185400
1273,3.184894
1274,3.184382
1275,3.183864
1276,3.183348
1277,3.182821
1278,3.182296
1279,3.181763
1280,3.181236
1281,3.180701
1282,3.181359
1283,3.179618
1284,3.179086
1285,3.178541
1286,3.177997
1287,3.177449
1288,3.176906
1289,3.176355
1290,3.175795
1291,3.175237
1292,3.174684
1293,3.174135
1294,3.173569
1295,3.173013
1296,3.172429
1297,3.171857
1298,3.171287
1299,3.170702
1300,3.171314
1301,3.169519
1302,3.168915
1303,3.168310
1304,3.167689
1305,3.167064
1306,3.166434
1307,3.165798
1308,3.165143
1309,3.164490
1310,3.163825
1311,3.163146
1312,3.162458
1313,3.161754
1314,3.161039
1315,3.160311
1316,3.159574
1317,3.158819
1318,3.158066
1319,3.157288
1320,3.156494
1321,3.155689
1322,3.154869
1323,3.154038
1324,3.153198
1325,3.152340
1326,3.151466
1327,3.150590
1328,3.149696
1329,3.148796
1330,3.147889
1331,3.146968
1332,3.146035
1333,3.145100
1334,3.144153
1335,3.143213
1336,3.142246
1337,3.141294
1338,3.140335
1339,3.139372
1340,3.138407
1341,3.137444
1342,3.136473
1343,3.135498
1344,3.134528
1345,3.133547
1346,3.132566
1347,3.131575
1348,3.130591
1349,3.129587
1350,3.128575
1351,3.127556
1352,3.126518
1353,3.125469
1354,3.124413
1355,3.123320
1356,3.122213
1357,3.121084
1358,3.119921
1359,3.118741
1360,3.117535
1361,3.116309
1362,3.115042
1363,3.113748
1364,3.112421
1365,3.111083
1366,3.109717
1367,3.108329
1368,3.106922
1369,3.105512
1370,3.104078
1371,3.102651
1372,3.113229
1373,3.099818
1374,3.098411
1375,3.097034
1376,3.095672
1377,3.094339
1378,3.093029
1379,3.091747
1380,3.090474
1381,3.089226
1382,3.087988
1383,3.086743
1384,3.085524
1385,3.084287
1386,3.083041
1387,3.081808
1388,3.080551
1389,3.079277
1390,3.077970
1391,3.076649
1392,3.075298
1393,3.073919
1394,3.072507
1395,3.071069
1396,3.069592
1397,3.068072
1398,3.066526
1399,3.064927
1400,3.063300
1401,3.061604
1402,3.059864
1403,3.058070
1404,3.056207
1405,3.054281
1406,3.052266
1407,3.051379
1408,3.048006
1409,3.045745
1410,3.043366
1411,3.040880
1412,3.038257
1413,3.035494
1414,3.032585
1415,3.029514
1416,3.026252
1417,3.022766
1418,3.006539
1419,3.013794
1420,2.996735
1421,2.991359
1422,2.985656
1423,2.979625
1424,2.973266
1425,2.966552
1426,2.959524
1427,2.952163
1428,2.944478
1429,2.936507
1430,2.928216
1431,2.919611
1432,2.910683
1433,2.913453
1434,2.891907
1435,2.882032
1436,2.871801
1437,2.861202
1438,2.850206
1439,2.838805
1440,2.827136
1441,2.814767
1442,2.802047
1443,2.788781
1444,2.774947
1445,2.760532
1446,2.745477
1447,2.729718
1448,2.713165
1449,2.695724
1450,2.677349
1451,2.657899
1452,2.637135
1453,2.614936
1454,2.591027
1455,2.565138
1456,2.536949
1457,2.528436
1458,2.524916
1459,2.521985
1460,2.519501
1461,2.517130
1462,2.515247
1463,2.513362
1464,2.511766
1465,2.510533
1466,2.509187
1467,2.508090
1468,2.507077
1469,2.506110
1470,2.505231
1471,2.504554
1472,2.503764
1473,2.503238
1474,2.502925
1475,2.502353
1476,2.502216
1477,2.513768
1478,2.513652
1479,2.513417
1480,2.513375
1481,2.500894
1482,2.500931
1483,2.500730
1484,2.500612
1485,2.500650
1486,2.500495
1487,2.500336
1488,2.500441
1489,2.500058
1490,2.500026
1491,2.499960
1492,2.500007
1493,2.500139
1494,2.499880
1495,2.499812
1496,2.499639
1497,2.499833
1498,2.499769
1499,2.499913
1500,2.499758
1501,2.499858
1502,2.499571
1503,2.499597
1504,2.499693
1505,2.499706
1506,2.499567
1507,2.499668
1508,2.499537
1509,2.499410
1510,2.499567
1511,2.499525
1512,2.499512
1513,2.499459
1514,2.499461
1515,2.499429
1516,2.499442
1517,2.499413
1518,2.499364
1519,2.499053
1520,2.499154
1521,2.499211
1522,2.499152
1523,2.499395
1524,2.499311
1525,2.499365
1526,2.499470
1527,2.499510
1528,2.499581
1529,2.499411
1530,2.499382
1531,2.499398
1532,2.499338
1533,2.499410
1534,2.499526
1535,2.499415
1536,2.499409
1537,2.499322
1538,2.499452
1539,2.499299
1540,2.499305
1541,2.499173
1542,2.499240
1543,2.499214
1544,2.499101
1545,2.499337
1546,2.499097
1547,2.499262
1548,2.499272
1549,2.499216
