h,m,s,voltage
8.00,56.00,16.34800,3.2630906
8.00,56.00,18.78800,3.2630777
8.00,56.00,21.23800,3.2630637
8.00,56.00,23.67200,3.2630486
8.00,56.00,26.11400,3.2630367
8.00,56.00,28.54800,3.2630238
8.00,56.00,30.99000,3.2630109
8.00,56.00,33.42300,3.2630001
8.00,56.00,35.86100,3.2629872
8.00,56.00,38.30300,3.2629807
8.00,56.00,40.73600,3.262957
8.00,56.00,43.17400,3.2629419
8.00,56.00,45.61100,3.2629301
8.00,56.00,48.05600,3.2629096
8.00,56.00,50.48900,3.2629031
8.00,56.00,52.92100,3.2628924
8.00,56.00,55.35800,3.2628794
8.00,56.00,57.79500,3.2628633
8.00,57.00,0.23600,3.2628536
8.00,57.00,2.66900,3.2628331
8.00,57.00,5.10900,3.262818
8.00,57.00,7.54700,3.2628126
8.00,57.00,9.99400,3.2627943
8.00,57.00,12.43300,3.2627857
8.00,57.00,14.88100,3.2627588
8.00,57.00,17.32100,3.2627448
8.00,57.00,19.76600,3.262734
8.00,57.00,22.21600,3.2627243
8.00,57.00,24.66000,3.2627092
8.00,57.00,27.10300,3.2626952
8.00,57.00,29.54300,3.2626769
8.00,57.00,31.98900,3.2626629
8.00,57.00,34.42900,3.2626457
8.00,57.00,36.86100,3.2626349
8.00,57.00,39.30500,3.2626177
8.00,57.00,41.75600,3.2626026
8.00,57.00,44.21400,3.2625886
8.00,57.00,46.65700,3.26258
8.00,57.00,49.09100,3.2625606
8.00,57.00,51.53000,3.2625466
8.00,57.00,53.97300,3.2625293
8.00,57.00,56.41100,3.2625164
8.00,57.00,58.84400,3.2625024
8.00,58.00,1.29300,3.2624862
8.00,58.00,3.73400,3.2624701
8.00,58.00,6.17200,3.2624561
8.00,58.00,8.61000,3.2624474
8.00,58.00,11.03800,3.2624259
8.00,58.00,13.48700,3.2624162
8.00,58.00,15.92500,3.2623979
8.00,58.00,18.37500,3.262385
8.00,58.00,20.80500,3.2623688
8.00,58.00,23.23700,3.2623505
8.00,58.00,25.66800,3.2623333
8.00,58.00,28.10800,3.2623214
8.00,58.00,30.55600,3.2623052
8.00,58.00,32.99400,3.2622902
8.00,58.00,35.43400,3.2622686
8.00,58.00,37.86600,3.26226
8.00,58.00,40.30500,3.2622428
8.00,58.00,42.73800,3.2622255
8.00,58.00,45.17200,3.2622104
8.00,58.00,47.61300,3.2621986
8.00,58.00,50.04500,3.2621835
8.00,58.00,52.47500,3.2621598
8.00,58.00,54.90300,3.2621469
8.00,58.00,57.34700,3.2621296
8.00,58.00,59.78500,3.2621156
8.00,59.00,2.22200,3.2620952
8.00,59.00,4.66400,3.2620822
8.00,59.00,7.11000,3.2620661
8.00,59.00,9.54800,3.2620553
8.00,59.00,11.98100,3.2620327
8.00,59.00,14.42100,3.2620122
8.00,59.00,16.85300,3.261995
8.00,59.00,19.28400,3.2619831
8.00,59.00,21.72100,3.2619637
8.00,59.00,24.15600,3.2619422
8.00,59.00,26.59400,3.2619271
8.00,59.00,29.03000,3.2619056
8.00,59.00,31.46900,3.2618926
8.00,59.00,33.90800,3.2618786
8.00,59.00,36.35800,3.261856
8.00,59.00,38.78600,3.2618452
8.00,59.00,41.22500,3.2618334
8.00,59.00,43.66700,3.2618086
8.00,59.00,46.10100,3.2618
8.00,59.00,48.53300,3.2617784
8.00,59.00,50.96800,3.2617612
8.00,59.00,53.41000,3.2617354
8.00,59.00,55.84900,3.2617181
8.00,59.00,58.28900,3.261703
9.00,0.00,0.72500,3.2616836
9.00,0.00,3.15700,3.2616696
9.00,0.00,5.59600,3.2616492
9.00,0.00,8.03300,3.2616319
9.00,0.00,10.46200,3.2616147
9.00,0.00,12.90500,3.2615996
9.00,0.00,15.35500,3.2615845
9.00,0.00,17.79500,3.2615662
9.00,0.00,20.23400,3.2615511
9.00,0.00,22.66600,3.2615264
9.00,0.00,25.09400,3.261507
9.00,0.00,27.53500,3.2614887
9.00,0.00,29.96800,3.261466
9.00,0.00,32.40600,3.2614542
9.00,0.00,34.83300,3.2614337
9.00,0.00,37.26700,3.2614165
9.00,0.00,39.69700,3.2614025
9.00,0.00,42.14600,3.2613852
9.00,0.00,44.58300,3.2613658
9.00,0.00,47.02100,3.2613486
9.00,0.00,49.45700,3.2613238
9.00,0.00,51.89700,3.2613087
9.00,0.00,54.34000,3.2612883
9.00,0.00,56.77100,3.2612635
9.00,0.00,59.21800,3.2612506
9.00,1.00,1.65700,3.2612333
9.00,1.00,4.09700,3.2612086
9.00,1.00,6.52100,3.2611967
9.00,1.00,8.94900,3.2611762
9.00,1.00,11.38400,3.2611482
9.00,1.00,13.82200,3.2611353
9.00,1.00,16.26200,3.2611105
9.00,1.00,18.70200,3.2610933
9.00,1.00,21.13900,3.2610728
9.00,1.00,23.57200,3.261062
9.00,1.00,26.02000,3.261034
9.00,1.00,28.46100,3.2610136
9.00,1.00,30.89800,3.2609909
9.00,1.00,33.32800,3.2609791
9.00,1.00,35.77000,3.2609532
9.00,1.00,38.20600,3.2609382
9.00,1.00,40.64500,3.2609112
9.00,1.00,43.07500,3.260894
9.00,1.00,45.51400,3.2608746
9.00,1.00,47.94700,3.2608563
9.00,1.00,50.38800,3.2608347
9.00,1.00,52.83500,3.2608089
9.00,1.00,55.26600,3.2607938
9.00,1.00,57.70100,3.2607744
9.00,2.00,0.14100,3.2607496
9.00,2.00,2.57800,3.2607292
9.00,2.00,5.01100,3.2607076
9.00,2.00,7.45000,3.2606893
9.00,2.00,9.89400,3.2606688
9.00,2.00,12.32800,3.2606451
9.00,2.00,14.75300,3.2606204
9.00,2.00,17.18300,3.2605945
9.00,2.00,19.63000,3.260574
9.00,2.00,22.06900,3.26056
9.00,2.00,24.50700,3.2605299
9.00,2.00,26.93100,3.2605191
9.00,2.00,29.37100,3.2604943
9.00,2.00,31.82000,3.2604695
9.00,2.00,34.25900,3.260448
9.00,2.00,36.70300,3.260434
9.00,2.00,39.14000,3.2604038
9.00,2.00,41.57800,3.2603866
9.00,2.00,44.02000,3.2603607
9.00,2.00,46.45600,3.2603381
9.00,2.00,48.89100,3.2603209
9.00,2.00,51.33100,3.2602929
9.00,2.00,53.77100,3.2602681
9.00,2.00,56.20200,3.2602444
9.00,2.00,58.63800,3.2602261
9.00,3.00,1.07600,3.2602024
9.00,3.00,3.51600,3.2601862
9.00,3.00,5.95000,3.2601614
9.00,3.00,8.39200,3.2601323
9.00,3.00,10.83100,3.2601108
9.00,3.00,13.27100,3.260086
9.00,3.00,15.70900,3.2600612
9.00,3.00,18.14000,3.2600462
9.00,3.00,20.57500,3.2600235
9.00,3.00,23.02000,3.2599977
9.00,3.00,25.45900,3.2599729
9.00,3.00,27.90800,3.2599503
9.00,3.00,30.34800,3.2599277
9.00,3.00,32.78700,3.2599018
9.00,3.00,35.22100,3.2598792
9.00,3.00,37.67800,3.2598587
9.00,3.00,40.11600,3.2598339
9.00,3.00,42.55400,3.2598113
9.00,3.00,44.99400,3.2597779
9.00,3.00,47.43500,3.2597607
9.00,3.00,49.87200,3.2597348
9.00,3.00,52.30200,3.259709
9.00,3.00,54.74600,3.2596799
9.00,3.00,57.18300,3.2596573
9.00,3.00,59.63300,3.2596325
9.00,4.00,2.07300,3.2596131
9.00,4.00,4.50700,3.2595905
9.00,4.00,6.94500,3.25957
9.00,4.00,9.37100,3.2595398
9.00,4.00,11.80500,3.2595204
9.00,4.00,14.24400,3.2594892
9.00,4.00,16.69200,3.2594687
9.00,4.00,19.14200,3.2594418
9.00,4.00,21.58300,3.259417
9.00,4.00,24.01900,3.259389
9.00,4.00,26.45900,3.2593664
9.00,4.00,28.89500,3.2593351
9.00,4.00,31.33700,3.2593082
9.00,4.00,33.77500,3.2592888
9.00,4.00,36.22500,3.259263
9.00,4.00,38.67000,3.2592393
9.00,4.00,41.10800,3.2592048
9.00,4.00,43.54900,3.2591811
9.00,4.00,45.98700,3.2591606
9.00,4.00,48.42700,3.2591337
9.00,4.00,50.86400,3.2591046
9.00,4.00,53.29000,3.2590766
9.00,4.00,55.73200,3.2590518
9.00,4.00,58.17200,3.259026
9.00,5.00,0.60400,3.258999
9.00,5.00,3.03800,3.2589732
9.00,5.00,5.49000,3.2589452
9.00,5.00,7.94000,3.2589193
9.00,5.00,10.38700,3.2588924
9.00,5.00,12.82100,3.2588644
9.00,5.00,15.27200,3.2588374
9.00,5.00,17.71300,3.2588083
9.00,5.00,20.17200,3.2587814
9.00,5.00,22.60600,3.2587609
9.00,5.00,25.04500,3.2587275
9.00,5.00,27.48400,3.2587071
9.00,5.00,29.93400,3.2586683
9.00,5.00,32.38700,3.2586317
9.00,5.00,34.82000,3.2586101
9.00,5.00,37.25600,3.2585897
9.00,5.00,39.69300,3.2585573
9.00,5.00,42.14100,3.2585293
9.00,5.00,44.57900,3.2584948
9.00,5.00,47.01900,3.2584787
9.00,5.00,49.46700,3.2584453
9.00,5.00,51.90600,3.2584173
9.00,5.00,54.35400,3.2583871
9.00,5.00,56.78800,3.2583559
9.00,5.00,59.22300,3.2583214
9.00,6.00,1.66400,3.2582912
9.00,6.00,4.11200,3.2582611
9.00,6.00,6.54600,3.2582341
9.00,6.00,8.97700,3.2582029
9.00,6.00,11.42600,3.2581749
9.00,6.00,13.86800,3.2581437
9.00,6.00,16.30900,3.2581124
9.00,6.00,18.74200,3.2580801
9.00,6.00,21.17400,3.2580499
9.00,6.00,23.61000,3.2580176
9.00,6.00,26.04800,3.2579885
9.00,6.00,28.48800,3.2579584
9.00,6.00,30.94200,3.2579271
9.00,6.00,33.38200,3.2578948
9.00,6.00,35.82300,3.2578689
9.00,6.00,38.25400,3.2578345
9.00,6.00,40.69800,3.2578021
9.00,6.00,43.14000,3.257772
9.00,6.00,45.58300,3.2577407
9.00,6.00,48.02400,3.2577127
9.00,6.00,50.46100,3.2576739
9.00,6.00,52.90100,3.2576416
9.00,6.00,55.34000,3.2576061
9.00,6.00,57.78300,3.2575824
9.00,7.00,0.22200,3.2575511
9.00,7.00,2.65600,3.257521
9.00,7.00,5.08800,3.2574822
9.00,7.00,7.53500,3.2574585
9.00,7.00,9.96600,3.2574176
9.00,7.00,12.41300,3.2573895
9.00,7.00,14.84400,3.2573572
9.00,7.00,17.29200,3.2573184
9.00,7.00,19.72800,3.2572883
9.00,7.00,22.16800,3.2572538
9.00,7.00,24.60700,3.2572247
9.00,7.00,27.03800,3.2571892
9.00,7.00,29.48000,3.2571525
9.00,7.00,31.91900,3.2571224
9.00,7.00,34.36000,3.2570857
9.00,7.00,36.79100,3.2570545
9.00,7.00,39.23500,3.25702
9.00,7.00,41.67600,3.2569834
9.00,7.00,44.11400,3.25695
9.00,7.00,46.55200,3.2569166
9.00,7.00,48.98400,3.2568778
9.00,7.00,51.41900,3.2568487
9.00,7.00,53.84800,3.2568175
9.00,7.00,56.28500,3.2567798
9.00,7.00,58.72000,3.2567421
9.00,8.00,1.15300,3.256713
9.00,8.00,3.59100,3.2566742
9.00,8.00,6.03000,3.2566354
9.00,8.00,8.45800,3.2566064
9.00,8.00,10.90200,3.2565708
9.00,8.00,13.33400,3.2565428
