time	Cell voltage
11:59:14	3,272519
11:59:16	3,272513
11:59:17	3,272505
11:59:19	3,272499
11:59:20	3,272492
11:59:21	3,272486
11:59:23	3,272478
11:59:24	3,272471
11:59:26	3,272458
11:59:27	3,272454
11:59:29	3,272448
11:59:30	3,272442
11:59:31	3,272431
11:59:33	3,272426
11:59:34	3,272416
11:59:36	3,272407
11:59:37	3,272405
11:59:39	3,272398
11:59:40	3,272392
11:59:41	3,272383
11:59:43	3,272373
11:59:44	3,272364
11:59:46	3,272364
11:59:47	3,272355
11:59:49	3,272345
11:59:50	3,272335
11:59:52	3,272327
11:59:53	3,272323
11:59:54	3,272317
11:59:56	3,272309
11:59:57	3,272294
11:59:59	3,272292
12:00:00	3,272285
12:00:02	3,272277
12:00:03	3,272274
12:00:05	3,272270
12:00:06	3,272254
12:00:07	3,272247
12:00:09	3,272248
12:00:10	3,272236
12:00:12	3,272229
12:00:13	3,272220
12:00:15	3,272213
12:00:16	3,272203
12:00:17	3,272197
12:00:19	3,272188
12:00:20	3,272182
12:00:22	3,272178
12:00:23	3,272172
12:00:25	3,272164
12:00:26	3,272153
12:00:28	3,272145
12:00:29	3,272140
12:00:30	3,272129
12:00:32	3,272126
12:00:33	3,272114
12:00:35	3,272109
12:00:36	3,272100
12:00:38	3,272091
12:00:39	3,272082
12:00:40	3,272076
12:00:42	3,272071
12:00:43	3,272061
12:00:45	3,272052
12:00:46	3,272047
12:00:48	3,272039
12:00:49	3,272029
12:00:51	3,272021
12:00:52	3,272137
12:00:53	3,272010
12:00:55	3,272001
12:00:56	3,271991
12:00:58	3,271986
12:00:59	3,271980
12:13:13	3,271970
12:13:02	3,271960
12:13:04	3,271954
12:13:05	3,271949
12:13:06	3,271935
12:13:08	3,271931
12:13:09	3,271923
12:13:11	3,271913
12:13:12	3,271906
12:13:14	3,271914
12:13:15	3,271890
12:13:16	3,271882
12:13:18	3,271871
12:13:19	3,271874
12:13:21	3,271857
12:13:22	3,271848
12:13:24	3,271844
12:13:25	3,271835
12:13:27	3,271828
12:13:28	3,271816
12:13:29	3,271811
12:13:31	3,271814
12:13:32	3,271791
12:13:34	3,271784
12:13:35	3,271776
12:13:37	3,271769
12:13:38	3,271767
12:13:39	3,271757
12:13:41	3,271737
12:13:42	3,271733
12:13:44	3,271732
12:13:45	3,271719
12:13:47	3,271713
12:13:48	3,271707
12:13:50	3,271696
12:13:51	3,271684
12:13:52	3,271683
12:13:54	3,271669
12:13:55	3,271662
12:13:57	3,271657
12:13:58	3,271647
12:02:00	3,271638
12:02:13	3,271627
12:02:03	3,271623
12:02:04	3,271614
12:02:05	3,271608
12:02:07	3,271596
