h,m,s,voltage
9.0000,57.0000,43.1300,3.2391
9.0000,57.0000,45.5780,3.2390
9.0000,57.0000,48.0130,3.2390
9.0000,57.0000,50.4510,3.2389
9.0000,57.0000,52.8800,3.2388
9.0000,57.0000,55.3160,3.2387
9.0000,57.0000,57.7590,3.2386
9.0000,58.0000,0.1990,3.2385
9.0000,58.0000,2.6330,3.2384
9.0000,58.0000,5.0650,3.2383
9.0000,58.0000,7.5050,3.2383
9.0000,58.0000,9.9480,3.2382
9.0000,58.0000,12.3800,3.2381
9.0000,58.0000,14.8250,3.2380
9.0000,58.0000,17.2700,3.2379
9.0000,58.0000,19.7070,3.2378
9.0000,58.0000,22.1540,3.2377
9.0000,58.0000,24.5820,3.2376
9.0000,58.0000,27.0200,3.2375
9.0000,58.0000,29.4600,3.2374
9.0000,58.0000,31.9010,3.2373
9.0000,58.0000,34.3380,3.2372
9.0000,58.0000,36.7700,3.2371
9.0000,58.0000,39.2070,3.2370
9.0000,58.0000,41.6490,3.2369
9.0000,58.0000,44.0890,3.2368
9.0000,58.0000,46.5180,3.2367
9.0000,58.0000,48.9560,3.2366
9.0000,58.0000,51.3880,3.2365
9.0000,58.0000,53.8420,3.2364
9.0000,58.0000,56.2740,3.2363
9.0000,58.0000,58.7120,3.2362
9.0000,59.0000,1.1560,3.2361
9.0000,59.0000,3.5870,3.2360
9.0000,59.0000,6.0250,3.2359
9.0000,59.0000,8.4670,3.2358
9.0000,59.0000,10.9120,3.2357
9.0000,59.0000,13.3560,3.2356
9.0000,59.0000,15.7990,3.2355
9.0000,59.0000,18.2450,3.2354
9.0000,59.0000,20.6860,3.2353
9.0000,59.0000,23.1270,3.2352
9.0000,59.0000,25.5580,3.2351
9.0000,59.0000,28.0040,3.2350
9.0000,59.0000,30.4470,3.2349
9.0000,59.0000,32.9010,3.2348
9.0000,59.0000,35.3400,3.2347
9.0000,59.0000,37.7750,3.2346
9.0000,59.0000,40.2130,3.2345
9.0000,59.0000,42.6660,3.2344
9.0000,59.0000,45.1050,3.2342
9.0000,59.0000,47.5480,3.2341
9.0000,59.0000,49.9880,3.2340
9.0000,59.0000,52.4260,3.2339
9.0000,59.0000,54.8680,3.2338
9.0000,59.0000,57.2990,3.2337
9.0000,59.0000,59.7380,3.2336
10.0000,0.0000,2.1760,3.2335
10.0000,0.0000,4.6250,3.2333
10.0000,0.0000,7.0640,3.2332
10.0000,0.0000,9.5110,3.2331
10.0000,0.0000,11.9400,3.2330
10.0000,0.0000,14.3880,3.2329
10.0000,0.0000,16.8290,3.2328
10.0000,0.0000,19.2710,3.2327
10.0000,0.0000,21.7070,3.2325
10.0000,0.0000,24.1610,3.2324
10.0000,0.0000,26.6020,3.2323
10.0000,0.0000,29.0420,3.2322
10.0000,0.0000,31.4840,3.2321
10.0000,0.0000,33.9220,3.2320
10.0000,0.0000,36.3590,3.2318
10.0000,0.0000,38.8000,3.2317
10.0000,0.0000,41.2370,3.2316
10.0000,0.0000,43.6630,3.2315
10.0000,0.0000,46.0950,3.2314
10.0000,0.0000,48.5410,3.2312
10.0000,0.0000,50.9830,3.2311
10.0000,0.0000,53.4260,3.2310
10.0000,0.0000,55.8490,3.2309
10.0000,0.0000,58.2820,3.2307
10.0000,1.0000,0.7140,3.2306
10.0000,1.0000,3.1520,3.2305
10.0000,1.0000,5.5830,3.2304
10.0000,1.0000,8.0090,3.2303
10.0000,1.0000,10.4570,3.2301
10.0000,1.0000,12.8940,3.2300
10.0000,1.0000,15.3410,3.2299
10.0000,1.0000,17.7820,3.2298
10.0000,1.0000,20.2200,3.2296
10.0000,1.0000,22.6590,3.2295
10.0000,1.0000,25.0900,3.2294
10.0000,1.0000,27.5210,3.2293
10.0000,1.0000,29.9820,3.2291
10.0000,1.0000,32.4240,3.2290
10.0000,1.0000,34.8640,3.2289
10.0000,1.0000,37.2960,3.2288
10.0000,1.0000,39.7360,3.2286
10.0000,1.0000,42.1670,3.2285
10.0000,1.0000,44.6060,3.2284
10.0000,1.0000,47.0320,3.2283
10.0000,1.0000,49.4750,3.2281
10.0000,1.0000,51.9160,3.2280
10.0000,1.0000,54.3480,3.2279
10.0000,1.0000,56.7820,3.2278
10.0000,1.0000,59.2210,3.2277
10.0000,2.0000,1.6600,3.2275
10.0000,2.0000,4.1010,3.2274
10.0000,2.0000,6.5350,3.2273
10.0000,2.0000,8.9730,3.2271
10.0000,2.0000,11.4050,3.2270
10.0000,2.0000,13.8440,3.2269
10.0000,2.0000,16.2840,3.2268
10.0000,2.0000,18.7270,3.2266
10.0000,2.0000,21.1700,3.2265
10.0000,2.0000,23.6090,3.2264
10.0000,2.0000,26.0430,3.2263
10.0000,2.0000,28.4800,3.2261
10.0000,2.0000,30.9090,3.2260
10.0000,2.0000,33.3470,3.2259
10.0000,2.0000,35.7940,3.2258
10.0000,2.0000,38.2310,3.2257
10.0000,2.0000,40.6630,3.2255
10.0000,2.0000,43.1070,3.2254
10.0000,2.0000,45.5450,3.2253
10.0000,2.0000,47.9880,3.2252
10.0000,2.0000,50.4380,3.2250
10.0000,2.0000,52.8740,3.2249
10.0000,2.0000,55.3040,3.2248
10.0000,2.0000,57.7450,3.2247
10.0000,3.0000,0.1770,3.2246
10.0000,3.0000,2.6090,3.2244
10.0000,3.0000,5.0490,3.2243
10.0000,3.0000,7.4860,3.2242
10.0000,3.0000,9.9160,3.2241
10.0000,3.0000,12.3640,3.2240
10.0000,3.0000,14.7970,3.2238
10.0000,3.0000,17.2390,3.2237
10.0000,3.0000,19.6800,3.2236
10.0000,3.0000,22.1230,3.2235
10.0000,3.0000,24.5750,3.2234
10.0000,3.0000,27.0150,3.2233
10.0000,3.0000,29.4570,3.2231
10.0000,3.0000,31.8870,3.2230
10.0000,3.0000,34.3140,3.2229
10.0000,3.0000,36.7650,3.2228
10.0000,3.0000,39.2160,3.2227
10.0000,3.0000,41.6600,3.2226
10.0000,3.0000,44.0910,3.2224
10.0000,3.0000,46.5310,3.2223
10.0000,3.0000,48.9600,3.2222
10.0000,3.0000,51.3980,3.2221
10.0000,3.0000,53.8410,3.2220
10.0000,3.0000,56.3040,3.2219
10.0000,3.0000,58.7580,3.2218
10.0000,4.0000,1.1880,3.2217
10.0000,4.0000,3.6220,3.2216
10.0000,4.0000,6.0680,3.2214
10.0000,4.0000,8.5040,3.2213
10.0000,4.0000,10.9410,3.2212
10.0000,4.0000,13.3790,3.2211
10.0000,4.0000,15.8160,3.2210
10.0000,4.0000,18.2560,3.2209
10.0000,4.0000,20.7050,3.2208
10.0000,4.0000,23.1450,3.2207
10.0000,4.0000,25.5810,3.2206
10.0000,4.0000,28.0290,3.2205
10.0000,4.0000,30.4580,3.2204
10.0000,4.0000,32.8920,3.2203
10.0000,4.0000,35.3290,3.2202
10.0000,4.0000,37.7690,3.2201
10.0000,4.0000,40.2160,3.2200
10.0000,4.0000,42.6500,3.2199
10.0000,4.0000,45.0970,3.2198
10.0000,4.0000,47.5380,3.2197
10.0000,4.0000,49.9820,3.2196
10.0000,4.0000,52.4230,3.2195
10.0000,4.0000,54.8640,3.2193
10.0000,4.0000,57.3010,3.2193
10.0000,4.0000,59.7390,3.2192
10.0000,5.0000,2.1730,3.2191
10.0000,5.0000,4.6260,3.2190
10.0000,5.0000,7.0590,3.2189
10.0000,5.0000,9.4920,3.2188
10.0000,5.0000,11.9300,3.2187
10.0000,5.0000,14.3670,3.2186
10.0000,5.0000,16.8060,3.2185
10.0000,5.0000,19.2440,3.2184
10.0000,5.0000,21.6830,3.2183
10.0000,5.0000,24.1200,3.2182
10.0000,5.0000,26.5540,3.2181
10.0000,5.0000,28.9900,3.2180
10.0000,5.0000,31.4260,3.2179
10.0000,5.0000,33.8590,3.2178
10.0000,5.0000,36.2860,3.2177
10.0000,5.0000,38.7200,3.2176
10.0000,5.0000,41.1570,3.2176
10.0000,5.0000,43.6020,3.2175
10.0000,5.0000,46.0390,3.2174
10.0000,5.0000,48.4770,3.2173
10.0000,5.0000,50.9240,3.2172
10.0000,5.0000,53.3700,3.2171
10.0000,5.0000,55.8090,3.2170
10.0000,5.0000,58.2460,3.2169
10.0000,6.0000,0.6740,3.2168
10.0000,6.0000,3.1210,3.2167
10.0000,6.0000,5.5630,3.2167
10.0000,6.0000,8.0080,3.2166
10.0000,6.0000,10.4500,3.2165
10.0000,6.0000,12.8920,3.2164
10.0000,6.0000,15.3340,3.2163
10.0000,6.0000,17.7820,3.2162
10.0000,6.0000,20.2200,3.2161
10.0000,6.0000,22.6690,3.2161
10.0000,6.0000,25.1080,3.2160
10.0000,6.0000,27.5400,3.2159
10.0000,6.0000,29.9820,3.2158
10.0000,6.0000,32.4190,3.2157
10.0000,6.0000,34.8610,3.2156
10.0000,6.0000,37.2960,3.2156
10.0000,6.0000,39.7360,3.2155
10.0000,6.0000,42.1760,3.2154
10.0000,6.0000,44.6220,3.2153
10.0000,6.0000,47.0710,3.2152
10.0000,6.0000,49.5010,3.2151
10.0000,6.0000,51.9390,3.2151
10.0000,6.0000,54.3690,3.2150
10.0000,6.0000,56.8080,3.2149
10.0000,6.0000,59.2490,3.2148
10.0000,7.0000,1.6780,3.2147
10.0000,7.0000,4.1210,3.2146
10.0000,7.0000,6.5560,3.2146
10.0000,7.0000,8.9940,3.2145
10.0000,7.0000,11.4330,3.2144
10.0000,7.0000,13.8740,3.2143
10.0000,7.0000,16.3130,3.2142
10.0000,7.0000,18.7520,3.2142
10.0000,7.0000,21.2000,3.2141
10.0000,7.0000,23.6300,3.2140
10.0000,7.0000,26.0550,3.2139
10.0000,7.0000,28.4900,3.2138
10.0000,7.0000,30.9250,3.2138
10.0000,7.0000,33.3740,3.2137
10.0000,7.0000,35.8120,3.2136
10.0000,7.0000,38.2410,3.2135
10.0000,7.0000,40.6820,3.2135
10.0000,7.0000,43.1250,3.2134
10.0000,7.0000,45.5610,3.2133
10.0000,7.0000,48.0060,3.2132
10.0000,7.0000,50.4440,3.2131
10.0000,7.0000,52.8900,3.2131
10.0000,7.0000,55.3300,3.2130
10.0000,7.0000,57.7710,3.2129
10.0000,8.0000,0.2130,3.2128
