h,m,s,voltage (V)
11,9,39.478,3.3963448
11,9,41.925,3.3963674
11,9,44.359,3.3963846
11,9,46.804,3.3964008
11,9,49.251,3.396418
11,9,51.69,3.3964406
11,9,54.131,3.3964568
11,9,56.561,3.3964751
11,9,59.005,3.396488
11,10,1.439,3.3965042
11,10,3.87,3.3965193
11,10,6.319,3.3965344
11,10,8.765,3.3965484
11,10,11.209,3.3965624
11,10,13.649,3.3965774
11,10,16.082,3.3965925
11,10,18.52,3.3966065
11,10,20.959,3.3966162
11,10,23.398,3.3966356
11,10,25.831,3.3966496
11,10,28.268,3.3966582
11,10,30.703,3.3966712
11,10,33.134,3.3966873
11,10,35.574,3.396697
11,10,38.012,3.396711
11,10,40.448,3.3967218
11,10,42.9,3.3967293
11,10,45.34,3.3967444
11,10,47.79,3.396752
11,10,50.229,3.3967574
11,10,52.666,3.3967767
11,10,55.119,3.3967864
11,10,57.554,3.3967951
11,10,59.99,3.396808
11,11,2.421,3.3968188
11,11,4.86,3.3968274
11,11,7.298,3.3968435
11,11,9.726,3.3968554
11,11,12.174,3.3968716
11,11,14.605,3.3968856
11,11,17.047,3.3968974
11,11,19.488,3.3969028
11,11,21.924,3.3969168
11,11,24.359,3.3969254
11,11,26.797,3.3969448
11,11,29.237,3.3969502
11,11,31.669,3.3969631
11,11,34.108,3.3969739
11,11,36.549,3.396989
11,11,38.987,3.3969997
11,11,41.418,3.3970116
11,11,43.87,3.3970256
11,11,46.324,3.3970407
11,11,48.763,3.3970482
11,11,51.204,3.3970622
11,11,53.638,3.3970773
11,11,56.081,3.3970881
11,11,58.521,3.3970999
11,12,0.95,3.3971118
11,12,3.373,3.3971236
11,12,5.831,3.3971301
11,12,8.271,3.3971484
11,12,10.71,3.3971592
11,12,13.15,3.3971786
11,12,15.599,3.3971926
11,12,18.047,3.3972023
11,12,20.486,3.3972141
11,12,22.929,3.3972303
11,12,25.372,3.3972421
11,12,27.815,3.3972605
11,12,30.254,3.3972691
11,12,32.684,3.3972885
11,12,35.127,3.3972992
11,12,37.551,3.3973154
11,12,39.986,3.3973294
11,12,42.435,3.3973542
11,12,44.875,3.3973628
11,12,47.313,3.3973779
11,12,49.75,3.3973983
